English,Maths,Basic_Science,Business_Studies,English_Literature,Department
51,89,31,57,72,
92,13,8,85,23,
14,26,98,48,63,
71,8,18,51,98,
60,78,47,41,48,
20,14,79,69,98,
82,89,2,14,35,
86,41,19,53,81,
74,76,23,59,95,
74,50,53,100,23,
87,62,32,96,22,
99,95,23,7,61,
23,51,74,52,95,
2,95,71,59,36,
21,3,35,4,11,
52,93,37,67,54,
1,100,83,5,12,
87,22,98,95,22,
29,14,88,93,88,
37,42,98,46,98,
1,28,24,98,29,
63,35,92,54,16,
59,12,17,39,61,
20,31,81,51,83,
32,70,65,15,88,
75,58,53,12,85,
57,85,34,29,12,
21,27,79,18,58,
88,65,60,16,18,
48,41,40,62,48,
90,44,99,18,99,
58,61,32,91,11,
41,56,67,57,60,
91,5,32,54,18,
59,27,13,89,75,
79,27,20,100,8,
14,43,47,89,70,
61,83,19,61,27,
61,29,7,22,77,
46,61,6,8,94,
61,74,66,11,51,
50,91,16,0,82,
54,88,32,57,15,
63,61,47,0,68,
2,96,75,33,98,
100,0,58,95,11,
50,26,85,47,24,
6,61,21,88,51,
20,76,29,0,84,
72,2,37,15,99,
38,69,50,60,52,
17,71,53,63,22,
3,26,7,62,15,
88,8,26,68,56,
59,61,26,21,38,
13,36,97,92,52,
8,96,20,66,41,
89,50,29,75,57,
52,43,96,25,38,
1,23,27,15,13,
83,78,63,50,94,
91,58,96,100,4,
59,31,68,85,34,
70,95,60,56,86,
43,87,47,28,92,
7,51,18,77,74,
46,61,3,91,17,
34,57,34,68,75,
77,51,63,46,8,
80,11,48,93,73,
35,38,16,61,57,
49,1,43,68,16,
3,2,91,75,6,
1,100,29,15,45,
5,55,92,89,12,
53,80,45,89,39,
3,58,5,47,41,
53,1,98,84,8,
92,1,36,38,49,
62,91,23,99,26,
17,53,92,32,65,
89,86,45,93,4,
43,100,52,100,28,
33,95,94,22,36,
73,96,98,9,37,
61,0,59,68,82,
99,18,96,99,7,
13,1,62,33,64,
94,52,84,51,85,
47,43,31,94,16,
14,89,86,9,70,
71,31,32,18,88,
77,69,66,57,44,
86,31,17,95,3,
61,67,24,0,35,
39,54,94,68,69,
84,74,53,3,30,
79,55,57,15,18,
81,16,66,23,60,
52,37,45,79,53,
23,23,23,1,38,
25,68,31,91,90,
88,97,46,31,73,
59,69,85,90,89,
40,85,22,83,18,
28,10,65,23,38,
14,15,26,11,66,
44,96,1,49,44,
64,72,89,34,12,
88,58,16,32,91,
70,69,32,32,57,
8,79,8,60,19,
87,92,42,50,91,
0,2,47,42,71,
7,19,38,100,60,
87,58,92,11,38,
62,35,41,66,0,
10,18,25,64,2,
80,89,98,32,76,
7,66,49,39,91,
34,18,24,73,61,
34,19,23,42,62,
32,95,12,43,24,
4,70,59,28,55,
40,51,6,12,32,
27,32,56,11,37,
6,39,35,94,5,
72,38,44,45,57,
71,81,19,1,43,
11,0,64,34,44,
33,10,7,86,31,
32,91,15,80,44,
47,56,13,89,60,
22,88,75,7,46,
61,49,86,92,20,
87,22,14,25,79,
36,30,91,73,84,
98,93,97,89,74,
43,41,65,33,100,
85,98,31,6,35,
90,6,86,67,98,
34,15,62,57,18,
64,89,85,74,19,
98,59,50,28,56,
100,1,24,35,17,
46,0,57,88,46,
77,47,62,20,48,
2,11,61,35,13,
0,68,21,9,14,
4,36,57,100,30,
